Handle,Title,Body (HTML),Vendor,Type,Tags,Status,Variant SKU,Variant Price,Image Src,Image Position
pisaderas-k2-my-way,K2 My Way,<p>Diseño con encaje perfecto.</p><p><strong>Tipo:</strong> Encaje perfecto<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Aluminio</p>,ISperformance,Pisaderas,"Pisaderas, Encaje perfecto",active,PIS-013,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/K2_MY_WAY.jpg,1
pisaderas-k2-my-way,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/K2_MY_WAY1.jpg,2
pisaderas-keko-my-road,Keko My Road,<p>Más área de apoyo.</p><p><strong>Tipo:</strong> Más área de apoyo<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Aluminio</p>,ISperformance,Pisaderas,"Pisaderas, Más área de apoyo",active,PIS-014,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/KEKO_MY_ROAD.jpg,1
pisaderas-keko-my-road,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/KEKO_MY_ROAD1.jpg,2
pisaderas-keko-my-road,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/KEKO_MY_ROAD2.jpg,3
pisaderas-integral-k1,Integral K1,<p>Más liviano.</p><p><strong>Tipo:</strong> Más liviano<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Aluminio</p>,ISperformance,Pisaderas,"Pisaderas, Más liviano",active,PIS-015,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/INTEGRAL_K1.jpg,1
pisaderas-shark-heavy-duty,Shark Heavy Duty,<p>Modelo texturado.</p><p><strong>Tipo:</strong> Modelo texturado<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Acero</p>,ISperformance,Pisaderas,"Pisaderas, Modelo texturado",active,PIS-016,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/SHARK_HEAVY_DUTY.jpg,1
pisaderas-shark-heavy-duty,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/SHARK_HEAVY_DUTY1.jpg,2
pisaderas-heavy-duty-trd,Heavy Duty TRD,<p>Diseño reforzado.</p><p><strong>Tipo:</strong> Diseño reforzado<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Acero</p>,ISperformance,Pisaderas,"Pisaderas, Diseño reforzado",active,PIS-017,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/HEAVY_DUTY_TRD.jpg,1
pisaderas-heavy-duty-trd,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/HEAVY_DUTY_TRD1.jpg,2
pisaderas-aluminio,Aluminio,<p>+ De 10 modelos.</p><p><strong>Tipo:</strong> + De 10 modelos<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Aluminio</p>,ISperformance,Pisaderas,"Pisaderas, + De 10 modelos",active,PIS-018,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/ALUMINIO.jpg,1
pisaderas-aluminio,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/ALUMINIO1.jpg,2
pisaderas-aluminio,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/ALUMINIO2.jpg,3
pisaderas-infinity,Infinity,<p>3 Modelos.</p><p><strong>Tipo:</strong> 3 modelos<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Aluminio/Acero</p>,ISperformance,Pisaderas,"Pisaderas, 3 modelos",active,PIS-019,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/INFINITY.jpg,1
pisaderas-infinity,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/INIFINITY1.jpg,2
